YOLOv8n Metrics
04-16-2026 17:17:09 RAM 5822/7607MB (lfb 4x4MB) SWAP 72/3804MB (cached 0MB) CPU [12%@729,19%@729,11%@729,20%@729,61%@1728,7%@1728] GR3D_FREQ 0% cpu@48.343C soc2@46.593C soc0@47.093C gpu@48.281C tj@48.343C soc1@46.875C VDD_IN 5111mW/6285mW VDD_CPU_GPU_CV 1477mW/2182mW VDD_SOC 1397mW/1595mW
04-16-2026 17:17:10 RAM 5865/7607MB (lfb 21x1MB) SWAP 72/3804MB (cached 0MB) CPU [3%@1728,17%@1728,37%@1728,26%@1728,73%@729,2%@729] GR3D_FREQ 0% cpu@48.687C soc2@46.625C soc0@47.218C gpu@48.312C tj@48.687C soc1@46.843C VDD_IN 5342mW/6212mW VDD_CPU_GPU_CV 1671mW/2143mW VDD_SOC 1435mW/1583mW
04-16-2026 17:17:11 RAM 5893/7607MB (lfb 21x1MB) SWAP 72/3804MB (cached 0MB) CPU [11%@1728,9%@1728,78%@1728,17%@1728,8%@729,37%@729] GR3D_FREQ 0% cpu@49.25C soc2@46.75C soc0@47.218C gpu@48.656C tj@49.25C soc1@46.687C VDD_IN 5462mW/6159mW VDD_CPU_GPU_CV 1751mW/2115mW VDD_SOC 1433mW/1572mW
04-16-2026 17:17:12 RAM 5955/7607MB (lfb 9x2MB) SWAP 73/3804MB (cached 0MB) CPU [3%@1728,2%@1728,100%@1728,7%@1728,6%@729,8%@729] GR3D_FREQ 0% cpu@48.625C soc2@46.718C soc0@47.406C gpu@48.718C tj@48.718C soc1@46.656C VDD_IN 5382mW/6107mW VDD_CPU_GPU_CV 1671mW/2085mW VDD_SOC 1433mW/1563mW
04-16-2026 17:17:13 RAM 5935/7607MB (lfb 11x1MB) SWAP 73/3804MB (cached 0MB) CPU [1%@1728,3%@1728,100%@1728,2%@1728,1%@729,1%@729] GR3D_FREQ 0% cpu@48.656C soc2@46.593C soc0@47.093C gpu@48.093C tj@48.656C soc1@46.843C VDD_IN 5263mW/6054mW VDD_CPU_GPU_CV 1475mW/2047mW VDD_SOC 1475mW/1558mW
04-16-2026 17:17:14 RAM 5323/7607MB (lfb 68x4MB) SWAP 73/3804MB (cached 0MB) CPU [7%@883,12%@883,95%@883,15%@883,10%@729,13%@729] GR3D_FREQ 0% cpu@48.343C soc2@46.687C soc0@47.156C gpu@48.187C tj@48.656C soc1@46.937C VDD_IN 5311mW/6011mW VDD_CPU_GPU_CV 1634mW/2023mW VDD_SOC 1397mW/1548mW
04-16-2026 17:17:15 RAM 5324/7607MB (lfb 68x4MB) SWAP 73/3804MB (cached 0MB) CPU [3%@1728,4%@1728,100%@1728,3%@1728,4%@729,3%@729] GR3D_FREQ 0% cpu@48.5C soc2@46.75C soc0@47.312C gpu@48.281C tj@48.375C soc1@46.75C VDD_IN 5111mW/5961mW VDD_CPU_GPU_CV 1236mW/1979mW VDD_SOC 1477mW/1544mW
04-16-2026 17:17:16 RAM 4233/7607MB (lfb 79x4MB) SWAP 73/3804MB (cached 0MB) CPU [1%@729,3%@729,65%@729,1%@729,17%@1728,22%@1728] GR3D_FREQ 0% cpu@48.375C soc2@46.656C soc0@47.218C gpu@48.312C tj@48.375C soc1@46.875C VDD_IN 5071mW/5914mW VDD_CPU_GPU_CV 1315mW/1944mW VDD_SOC 1437mW/1538mW
04-16-2026 17:17:17 RAM 4226/7607MB (lfb 79x4MB) SWAP 73/3804MB (cached 0MB) CPU [22%@729,23%@729,21%@729,18%@729,23%@729,19%@729] GR3D_FREQ 0% cpu@47.75C soc2@46.5C soc0@47.156C gpu@47.968C tj@47.968C soc1@46.812C VDD_IN 4025mW/5819mW VDD_CPU_GPU_CV 764mW/1885mW VDD_SOC 1167mW/1520mW
04-16-2026 17:17:18 RAM 4226/7607MB (lfb 79x4MB) SWAP 73/3804MB (cached 0MB) CPU [3%@729,5%@729,2%@729,3%@729,1%@729,1%@729] GR3D_FREQ 0% cpu@47.906C soc2@46.437C soc0@47.156C gpu@47.875C tj@47.906C soc1@46.906C VDD_IN 3594mW/5713mW VDD_CPU_GPU_CV 564mW/1822mW VDD_SOC 1088mW/1499mW

YOLOv8n Metrics
04-16-2026 17:18:03 RAM 4427/7607MB (lfb 76x4MB) SWAP 72/3804MB (cached 0MB) CPU [21%@1728,99%@1728,18%@1728,18%@1728,18%@729,27%@729] GR3D_FREQ 0% cpu@48.406C soc2@46.562C soc0@46.906C gpu@48.25C tj@48.406C soc1@46.687C VDD_IN 5462mW/5462mW VDD_CPU_GPU_CV 1711mW/1711mW VDD_SOC 1435mW/1435mW
04-16-2026 17:18:04 RAM 4463/7607MB (lfb 76x4MB) SWAP 72/3804MB (cached 0MB) CPU [2%@729,11%@729,2%@729,1%@729,91%@1728,0%@1728] GR3D_FREQ 0% cpu@48.468C soc2@46.437C soc0@47.062C gpu@48.187C tj@48.687C soc1@46.625C VDD_IN 5254mW/5358mW VDD_CPU_GPU_CV 1589mW/1650mW VDD_SOC 1433mW/1434mW
04-16-2026 17:18:05 RAM 4506/7607MB (lfb 76x4MB) SWAP 72/3804MB (cached 0MB) CPU [0%@729,2%@729,3%@729,1%@729,100%@1728,0%@1728] GR3D_FREQ 0% cpu@48.343C soc2@46.562C soc0@47.093C gpu@48C tj@48.343C soc1@46.625C VDD_IN 5254mW/5323mW VDD_CPU_GPU_CV 1510mW/1603mW VDD_SOC 1433mW/1434mW
04-16-2026 17:18:06 RAM 4530/7607MB (lfb 76x4MB) SWAP 72/3804MB (cached 0MB) CPU [9%@729,10%@729,13%@729,10%@729,100%@1728,1%@1728] GR3D_FREQ 0% cpu@48.406C soc2@46.531C soc0@46.968C gpu@48C tj@48.312C soc1@46.593C VDD_IN 5692mW/5416mW VDD_CPU_GPU_CV 1788mW/1650mW VDD_SOC 1512mW/1453mW
04-16-2026 17:18:07 RAM 4633/7607MB (lfb 76x4MB) SWAP 72/3804MB (cached 0MB) CPU [58%@1728,54%@1728,60%@1728,61%@1728,74%@729,50%@729] GR3D_FREQ 0% cpu@48.593C soc2@46.781C soc0@47C gpu@48.656C tj@48.781C soc1@46.812C VDD_IN 6818mW/5696mW VDD_CPU_GPU_CV 2866mW/1893mW VDD_SOC 1515mW/1466mW
04-16-2026 17:18:08 RAM 5302/7607MB (lfb 1x2MB) SWAP 72/3804MB (cached 0MB) CPU [69%@1728,70%@1728,66%@1728,99%@1728,64%@729,62%@729] GR3D_FREQ 13% cpu@48.875C soc2@47.062C soc0@47.187C gpu@48.75C tj@48.875C soc1@47C VDD_IN 7615mW/6016mW VDD_CPU_GPU_CV 3224mW/2115mW VDD_SOC 1674mW/1500mW
